FECHA TRANSACCION;FECHA ENTRADA;NUMERO REFERENCIA;DESCRIPCION;DESCRIPCION_2;DESCRIPCION_3;ORIGEN;VALOR;SALDO
20191227;20191227;3956882; TIENDAS DOC 01 26/12/2019              ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;7585;3613465.34
20191228;20191228;91921035; 27/12/19 COG 02                        ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;17360;3630825.34
20191228;20191228;13203774; TIENDA GOC 01 27/12/19                 ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;12859.86;3643685.2
20191230;20191230;91749613; COG 02 28/12/19                        ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;11673;3655358.2
20191230;20191230;91858951; 29/12/19 GOC 02                        ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;3599;3658957.2
20191230;20191230;92815838; TIENDA GOC 01 28/12/19                 ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;8215.99;3667173.19
20191231;20191231;213386; 30-12-19 GOC                           ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;24102;3691275.19
20191231;20191231;10122073; TIENDA GOC 01 30/12/19                 ;DEPOSITO CTA AH SIN LIBRETA             ;;CR;1196;3692471.19
20191231;20191231;63055;DESCUENTO INT CA 10%                    ;;;DB;1142.55;3691328.64
20191231;20191231;1128;CAPITALIZACION DE DIVIDENDOS            ;;;CR;11425.52;3702754.16
