Banco López de Haro
XXXXXXXXXl,,,,,,Fecha Desde:,13/02/2020
,,,,,,Fecha Hasta:,18/02/2020
CELULAS XXXXXXXX S. R. L.,,,,,,Cuenta:,4040019705
Calle Federico Geraldino; No. 47; Ens.xxxxxxxxx ,,,,,,,
,,,,,,,


Fecha de Posteo,Fecha Efectiva,No. Cheque,No. Referencia,Descripción,Retiros,Depósitos,Balance,
"13/02/2020","13/02/2020","93633","93633","CREDITO TXN ACH RECIBIDA CREDITO TRX ACH RECIBIDA Cr - ACH Visanet  000169408001",0.00,2882.93,260597.46,
"14/02/2020","14/02/2020","94616","94616","CREDITO TXN ACH RECIBIDA CREDITO TRX ACH RECIBIDA Cr - ACH Visanet  000169408001",0.00,9475.11,270072.57,
"17/02/2020","17/02/2020","101346","101346","CREDITO TXN ACH RECIBIDA CREDITO TRX ACH RECIBIDA Cr - ACH Visanet  000169408001",0.00,39207.04,309279.61,
"18/02/2020","18/02/2020","94817","94817","CREDITO TXN ACH RECIBIDA CREDITO TRX ACH RECIBIDA Cr - ACH Visanet  000169408001",0.00,23728.82,333008.43,
"","","","","Totales:",0.00,75293.90,0.00,
